# Survivors already read and left, and why.
#
# A mutation nothing catches is not necessarily a gap: it can be equivalent,
# or on a line nothing can reach. Those judgements were costing an afternoon
# each time a sweep was run, and living only in commit messages.
#
# file<TAB>change<TAB>the line as written. Not the line number, which moves.
# Edit the line and the entry stops matching, which is right: what was
# judged was the line that was there.

# the guard on the line above excludes equality, so both spellings agree
internal/syncd/plan.go	< -> <=	return na < nb

# pane ids are unique, so two panes are never equal here
internal/syncd/plan.go	< -> <=	return a.PaneID < b.PaneID

# checked against every layout from 0-30 machines by 1-40 rows: identical
internal/picker/picker.go	|| -> &&	if visible < 1 || visible <= best {

# checked against every layout from 0-30 machines by 1-40 rows: identical
internal/picker/picker.go	<= -> <	if visible < 1 || visible <= best {

# at the boundary the branch assigns the value already there
internal/picker/picker.go	> -> >=	if first+visible > count {

# Truncate returns the string unchanged when it fits, so this only adds a no-op call
internal/picker/picker.go	> -> >=	if len(spans) == 1 && text.Width(spans[0].text) > room {

# at the boundary both spellings return the same width
internal/picker/picker.go	< -> <=	if widest+gutter < limit {

# one byte either side of a bound on runaway input; nothing downstream can tell
internal/picker/picker.go	< -> <=	for i := 0; i < maxPasteBytes; i++ {

# one parameter either side of a bound on a sequence that is already malformed
internal/picker/picker.go	>= -> >	if i >= maxEscapeParams {
# unreachable: Wait returns nil on a zero exit, so the code here is never 0
internal/mirror/mirror.go	> -> >=	if code := exitStatus(err); code > 0 && code != sshOwnFailure {

# every character this names is non-graphic too, so the case below catches them all; checked across the whole range
internal/text/text.go	|| -> &&	case r < 0x20 || r == 0x7f:

# as above: the C1 controls are non-graphic, so the case below catches them
internal/text/text.go	>= -> >	case r >= 0x80 && r <= 0x9f:

# as above: the C1 controls are non-graphic, so the case below catches them
internal/text/text.go	<= -> <	case r >= 0x80 && r <= 0x9f:

# padding by nothing is the empty string, so both spellings pad the same
internal/text/text.go	> -> >=	if pad := width - Width(s); pad > 0 {

# unreachable: Wrap refuses a line budget below one, so cut is never handed an empty list
internal/text/text.go	> -> >=	if more && len(lines) > 0 {


# Equivalent on Linux only. Both spellings end up at sameProgram, which reads
# /proc/<pid>/comm and rejects pid 0 and the clamped-int an out-of-range Atoi
# hands back. On a system with no /proc that check passes everything and the
# guard is the whole of it, which is what TestLivenessRejectsDeadAndCorruptMarks
# asks about.
internal/mirror/liveness.go	|| -> &&	if err != nil || pid <= 0 {

# Same: pid 0 gets past the guard, and /proc/0/comm is what stops it here.
internal/mirror/liveness.go	<= -> <	if err != nil || pid <= 0 {

# ReadBuildInfo cannot fail inside a test binary, so both branches answer
# "unknown": the mutated one directly, the original through shortRevision("").
# What that decides is out of a test's reach, which is why shortRevision exists
# separately and has one.
internal/version/version.go	! ->	if !ok {

# i == 0 means the line begins with "=", and the guard inside already rejects
# it: Fields("") is empty, never the one field the rewrite needs. Both
# spellings leave the line alone.
internal/sshconfig/sshconfig.go	>= -> >	if i := strings.IndexByte(line, '='); i >= 0 && !strings.ContainsRune(line[:i], '"') {

# Defensive against a decoder that stops past the end of what it was given.
# SyntaxError.Offset is how much had been read, so for the errors encoding/json
# actually produces -- including "unexpected end of JSON input", where Offset is
# the whole length -- the byte before it is always inside the file. Removing
# either half only matters if that stops being true, which is what the guard is
# there for.
internal/config/config.go	|| -> &&	if at < 0 || at >= len(raw) {

# Same guard, other end.
internal/config/config.go	>= -> >	if at < 0 || at >= len(raw) {

# A boundary one nanosecond wide. The two spellings differ only when the gap
# since the last prune is exactly pruneInterval, which no clock reading in a
# test is going to land on.
internal/syncd/daemon.go	< -> <=	if last := d.lastPrune.Load(); last != 0 && now.Sub(time.Unix(0, last)) < pruneInterval {

# Same: exactly reopenSettled since the last reopen, to the nanosecond.
internal/syncd/daemon.go	> -> >=	if state.lastReopen.IsZero() || time.Since(state.lastReopen) > reopenSettled {

# Guards a log line and nothing else -- the assignment below it runs either
# way. Inverted it says "its space on the machine is gone" about a machine that
# never had one, which is wrong and is still only a log line.
internal/syncd/daemon.go	!= -> ==	if state.remoteWorkspaceID != "" {

# The line above trims the output, so it cannot begin with a newline and the
# index can never be 0. Both spellings of the boundary agree by construction.
internal/remote/remote.go	>= -> >	if i := strings.IndexByte(path, '\n'); i >= 0 {
